lith DT24/DTC GR M2R2 M2R3 M2R6 M2R9 M2RX ZDEN CNCF PE SP clay silica carbonate
7.00000 63.64700 74.83900 159.28100 159.28100 159.28100 157.60700 157.57300 2.69500 12.92200 2.02000 0.36830 47.32771 40.48791 12.18438
4.00000 77.87700 101.98700 36.99800 57.22800 98.02200 156.50700 194.34300 2.30200 43.56700 3.40000 0.71877 66.82616 30.67887 2.49497
4.00000 75.31600 112.58900 72.48100 100.11400 156.28100 268.19900 325.62600 2.41000 39.70800 2.80000 0.80874 58.03800 35.11434 6.84766
8.00000 64.65000 49.72200 188.80000 188.80000 188.80000 188.80000 188.80000 2.57200 4.94600 1.03700 0.32310 9.00000 89.00000 2.00000
8.00000 66.68700 64.50800 68.44900 68.59000 68.48900 68.47300 68.50200 2.59200 11.08200 1.85600 0.14323 14.00000 81.00000 5.00000
4.00000 61.31400 149.64600 95.26400 95.26400 95.26400 95.26400 95.26400 2.63900 24.40700 1.85600 0.33282 26.00000 69.00000 5.00000
7.00000 55.57200 72.66400 322.73600 322.73600 322.73600 322.73600 322.73600 2.69900 8.87300 3.07100 0.14818 13.00000 49.00000 38.00000
9.00000 58.85800 104.42400 72.00500 72.00500 72.00500 72.00500 72.00500 2.75200 15.16900 3.21900 0.32614 20.00000 67.00000 13.00000
10.00000 58.99800 96.86000 113.87500 113.78300 113.81300 113.84700 113.57200 2.67800 9.14000 2.83000 0.14000 14.00000 66.00000 20.00000
8.00000 61.54000 107.19000 116.16600 115.82100 115.84600 116.03900 115.11200 2.64000 14.79000 3.19000 0.14000 16.00000 82.00000 2.00000
10.00000 67.61000 91.90700 71.77400 71.61800 71.66300 71.61900 71.53600 2.53900 8.46700 2.18500 0.19555 15.00000 70.00000 15.00000
7.00000 69.61500 92.10200 49.88000 49.89800 49.89600 49.90500 49.93000 2.54100 8.51300 1.40400 0.27318 18.00000 78.00000 4.00000
10.00000 64.31300 77.92100 112.04600 110.64200 110.35900 109.92400 110.37500 2.58700 8.44200 2.08100 0.22128 15.00000 77.00000 8.00000
10.00000 65.32500 83.74000 70.86700 71.82100 71.97100 72.48400 72.47400 2.58900 7.59000 2.13400 0.22845 26.00000 71.00000 3.00000
7.00000 66.71100 76.84500 50.65100 50.56300 50.61900 50.63800 50.84200 2.59500 12.86300 1.62700 0.18135 26.00000 72.00000 2.00000
7.00000 75.36900 159.08700 15.04600 15.06500 15.07200 15.14800 15.19400 2.59800 29.42600 2.21700 0.66436 32.00000 51.00000 17.00000
8.00000 64.98900 113.20300 88.95400 89.13600 89.20600 89.30200 89.38200 2.61000 11.70400 2.00500 0.20908 22.00000 69.00000 9.00000
7.00000 65.60300 171.14500 113.14500 110.75300 110.52400 110.18400 110.20700 2.61400 12.15900 2.14400 0.26675 27.00000 71.00000 2.00000
8.00000 63.84600 130.37000 127.93200 128.07000 128.08100 128.08100 128.08100 2.61700 21.65300 1.86300 0.58725 34.00000 62.00000 4.00000
8.00000 63.58300 129.42300 123.60100 123.63900 123.77400 123.80700 123.80700 2.62600 20.27600 1.95100 0.58569 16.00000 71.00000 13.00000
7.00000 65.87600 143.71300 62.98400 63.14800 63.23100 63.30900 63.25300 2.63000 26.87700 1.60100 0.63010 26.00000 69.00000 5.00000
3.00000 78.56000 137.44000 13.16700 13.29600 13.56100 13.67400 13.79900 2.64800 25.63900 1.93300 0.64552 45.00000 40.00000 15.00000
7.00000 63.95000 122.49100 111.79600 111.27700 111.20100 111.15700 111.53800 2.64900 18.61900 1.65700 0.60248 31.00000 60.00000 9.00000
7.00000 77.76500 83.33400 28.68000 31.30900 33.76100 34.95300 35.39100 2.45000 13.58300 1.39400 0.60621 14.00000 81.00000 5.00000
11.00000 69.91800 73.09600 40.66900 45.31900 50.43000 53.36900 54.82800 2.49500 7.90800 1.34800 0.55841 13.00000 57.00000 30.00000
11.00000 66.76900 76.02400 36.03500 36.25500 36.38100 37.68000 37.69700 2.49600 7.29300 1.52700 0.56826 15.00000 78.00000 7.00000
