lith DTC LnM GR GR_silica GR_clay M2R2 M2R3 M2R6 M2R9 M2RX F ZDEN ZDENm CNCF CNCFm CNCF_clay TM TP TN PE SP Silica clay carbonate
7.00000 69.61500 0.75585 92.10200 1.50778 0.58936 49.88000 49.89800 49.89600 49.90500 49.93000 0.99900 2.54100 0.19257 8.51300 0.09236 1.10540 1.00927 0.75859 5.89177 1.40400 0.27318 78.00000 18.00000 4.00000
11.00000 69.53900 0.92994 74.77800 1.65253 0.49769 30.47900 32.32500 34.25000 35.20000 35.58500 0.85651 2.51900 0.11824 9.75800 0.12460 0.99367 1.01614 0.76517 5.89351 1.28500 0.61521 75.00000 15.00000 10.00000
8.00000 69.52800 1.28411 54.14500 1.80954 0.40693 52.17000 53.00000 54.83800 56.68500 57.36100 0.90950 2.52900 0.15203 18.00000 0.33800 0.83029 1.01339 0.80686 5.63731 1.46600 0.58000 60.00000 30.00000 10.00000
3.00000 69.40400 0.48634 142.70600 1.03490 0.96570 29.42400 29.37400 30.43000 30.88500 31.09700 0.94620 2.58900 0.35473 17.40200 0.32252 1.03274 NaN 0.80473 NaN 1.67700 0.47420 35.97149 61.95693 2.07158
8.00000 69.36800 0.90655 76.51900 1.63850 0.50622 17.36800 17.61000 17.73200 17.73900 17.80300 0.97557 2.60000 0.39189 12.72800 0.20150 1.20973 0.99499 0.78112 5.67889 1.61200 0.62984 56.50000 17.10000 26.40000
3.00000 69.24700 0.44041 157.23300 0.89335 1.11278 92.78100 94.88000 100.78400 104.45500 107.00900 0.86704 2.63300 0.50338 29.90400 0.64623 0.86688 0.98712 0.87729 5.11771 2.87000 0.45638 38.17997 58.60191 3.21812
3.00000 69.16900 0.49971 138.41900 1.07666 0.92613 375.15700 313.49500 312.30900 292.17500 287.83000 1.30340 2.63200 0.50000 32.02600 0.70117 0.81777 0.98803 0.89129 5.05118 3.88000 0.44525 11.96292 85.96398 2.07310
11.00000 68.90200 0.87087 79.11900 1.61732 0.51923 37.65200 39.31900 41.64500 43.22100 43.58500 0.86388 2.50400 0.06757 7.54900 0.06740 1.00017 1.02569 0.75990 5.98145 1.16900 0.57095 73.00000 16.00000 11.00000
7.00000 68.75500 1.41716 48.51600 1.84933 0.38518 45.28600 49.13900 49.14100 50.86800 52.23000 0.86705 2.50700 0.07770 10.64500 0.14756 0.93252 1.02602 0.77589 5.88853 1.45400 0.15136 81.40000 18.60000 0.00000
7.00000 68.46600 0.50343 135.99800 1.10020 0.90451 74.23900 73.33100 81.00800 84.67000 86.28100 0.86043 2.57200 0.29730 18.83000 0.35949 0.93970 1.01003 0.81996 5.54526 1.92100 0.89342 52.00000 29.00000 19.00000
11.00000 68.32900 0.94620 72.21400 1.67298 0.48539 49.04700 53.79600 59.43500 62.18800 63.25700 0.77536 2.52100 0.12500 7.85900 0.07543 1.05082 1.02546 0.76601 5.94365 1.52700 0.54172 75.00000 15.00000 10.00000
3.00000 68.16200 0.49220 138.48400 1.07603 0.92672 53.97400 54.96300 58.40300 59.91700 60.66100 0.88976 2.62500 0.47635 28.12200 0.60009 0.88361 0.99808 0.87522 5.18486 2.27800 0.61924 64.00000 26.00000 10.00000
3.00000 68.14400 0.43389 157.05400 0.89509 1.11083 172.49800 157.02700 142.34500 134.81100 132.62800 1.30062 2.62400 0.47297 27.61900 0.58706 0.89218 0.99849 0.87233 5.20198 3.07000 0.39917 49.00000 47.00000 4.00000
10.00000 68.09500 0.39760 NaN 0.75876 1.27607 89.50200 87.99500 90.32300 92.66300 93.69100 0.95529 2.55100 0.22635 10.60000 0.14640 1.08324 1.01886 0.78102 5.81666 1.89100 0.14845 80.00000 17.00000 3.00000
3.00000 68.02000 0.48395 140.55300 1.05588 0.94562 101.50600 90.13200 80.24600 76.47900 75.17500 1.35026 2.64500 0.54392 28.31200 0.60501 0.94074 0.99391 0.87751 5.15146 3.88000 0.21427 12.00000 84.43000 3.57000
3.00000 67.94400 0.56308 120.66500 1.24756 0.77881 38.19500 41.16100 44.64300 46.25100 47.01800 0.81235 2.54700 0.21284 9.79800 0.12563 1.09112 1.02120 0.77835 5.84581 1.11000 0.66044 74.00000 15.00000 11.00000
11.00000 67.88600 0.91600 74.11100 1.65788 0.49446 36.35000 37.11700 38.97600 39.70400 40.04800 0.90766 2.51100 0.09122 8.79700 0.09971 0.99154 1.03189 0.77402 5.93427 1.63300 0.65242 77.00000 16.00000 7.00000
10.00000 67.61000 0.73563 91.90700 1.50947 0.58824 71.77400 71.61800 71.66300 71.61900 71.53600 1.00333 2.53900 0.18581 8.46700 0.09117 1.09927 1.02612 0.77466 5.89638 2.18500 0.19555 70.00000 15.00000 15.00000
10.00000 67.42900 1.14411 58.93600 1.77464 0.42640 79.06400 75.74700 75.57700 74.99800 74.68600 1.05862 2.51300 0.09797 12.83100 0.20416 0.89925 1.03496 0.79732 5.81548 1.40000 0.34815 85.60000 13.30000 1.10000
4.00000 67.33700 0.58929 114.26800 1.30777 0.73168 137.59000 143.57600 180.85400 198.01700 213.28200 0.64511 2.62100 0.46284 22.87000 0.46410 0.99874 1.00575 0.85118 5.35184 3.72700 0.57839 50.00000 25.00000 25.00000
8.00000 67.32600 0.91615 73.48800 1.66285 0.49147 26.84500 28.76700 29.74300 30.68600 31.49400 0.85238 2.56900 0.28716 14.99000 0.26007 1.02747 1.01999 0.80903 5.66240 1.32900 0.33747 69.30000 30.10000 0.60000
4.00000 67.14900 0.55851 120.22900 1.25169 0.77550 245.49000 189.00700 156.19000 144.39800 140.87300 1.74263 2.72600 0.81757 30.28700 0.65615 1.17518 0.97998 0.89658 4.98420 2.48000 0.28519 39.44536 56.69093 3.86371
7.00000 66.89500 0.89091 75.08600 1.65006 0.49919 48.81800 48.86600 49.52300 49.25000 49.82000 0.97989 2.53900 0.18581 11.28500 0.16413 1.02191 1.03178 0.79390 5.81685 1.77100 0.42807 62.00000 11.00000 27.00000
3.00000 66.82800 0.41729 160.14600 0.86514 1.14486 136.65300 121.31500 107.10700 101.46100 99.72100 1.37035 2.67800 0.65541 25.71700 0.53782 1.12478 0.99476 0.87154 5.18670 2.48000 0.37102 39.00000 56.00000 5.00000
10.00000 66.78000 0.50099 133.29700 1.12639 0.88098 48.15900 48.78400 50.41800 51.57500 52.18200 0.92290 2.56700 0.28041 10.35900 0.14016 1.15056 1.02486 0.79030 5.79756 2.21400 0.13770 78.00000 17.00000 5.00000
